SERVICE;PROTOCOL;DIR;SRC;SRCPORT;DEST;DESTPORT;STATE;AGE;EXP;PKTS;BYTES
SNMP;UDP;Out;201.65.78.233;60379;192.168.230.241;161;SINGLE:NO_TRAFFIC;00:00:30;00:00:20;6;642
HTTPS;TCP;In;192.168.193.149;54804;52.34.30.2;443;TIME_WAIT:TIME_WAIT;00:00:35;00:00:55;6;386
HTTPS;TCP;Out;201.65.78.233;18612;52.34.30.2;443;TIME_WAIT:TIME_WAIT;00:00:35;00:00:55;6;386
HTTPS;TCP;In;192.168.160.35;54435;66.110.49.74;443;FIN_WAIT_2:FIN_WAIT_2;00:00:29;00:01:02;6;264
HTTPS;TCP;Out;201.65.78.233;51521;66.110.49.74;443;FIN_WAIT_2:FIN_WAIT_2;00:00:29;00:01:02;6;264
HTTPS;TCP;In;192.168.193.149;54809;52.34.30.2;443;TIME_WAIT:TIME_WAIT;00:00:33;00:00:57;6;471
HTTPS;TCP;Out;201.65.78.233;56831;52.34.30.2;443;TIME_WAIT:TIME_WAIT;00:00:33;00:00:57;6;471
HTTPS;TCP;In;192.168.193.149;54815;52.25.11.106;443;TIME_WAIT:TIME_WAIT;00:00:31;00:01:00;6;461
HTTPS;TCP;Out;201.65.78.233;30012;52.25.11.106;443;TIME_WAIT:TIME_WAIT;00:00:31;00:01:00;6;461
HTTP;TCP;In;192.168.196.16;32815;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:27;00:01:03;6;264
HTTP;TCP;Out;177.200.93.126;34612;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:27;00:01:03;6;264
HTTP;TCP;In;192.168.88.35;47289;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:00:22;00:01:08;6;264
HTTP;TCP;Out;177.200.93.126;1198;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:00:22;00:01:08;6;264
HTTP;TCP;In;192.168.170.82;37540;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:18;00:01:12;6;264
HTTP;TCP;Out;177.200.93.126;12202;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:18;00:01:12;6;264
HTTP;TCP;In;192.168.170.147;54838;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:15;00:01:15;6;264
HTTP;TCP;Out;201.65.78.233;18637;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:15;00:01:15;6;264
HTTP;TCP;In;192.168.195.102;56859;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:13;00:01:17;6;264
HTTP;TCP;Out;177.200.93.126;34438;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:13;00:01:17;6;264
HTTP;TCP;In;10.100.22.29;32834;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:11;00:01:19;6;264
HTTP;TCP;Out;177.200.93.126;38459;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:11;00:01:19;6;264
HTTP;TCP;In;192.168.195.102;41614;23.67.77.128;80;FIN_WAIT_2:FIN_WAIT_2;00:00:06;00:01:24;6;328
HTTP;TCP;Out;177.200.93.126;56954;23.67.77.128;80;FIN_WAIT_2:FIN_WAIT_2;00:00:06;00:01:24;6;328
HTTP;TCP;In;192.168.196.15;46167;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:04;00:01:26;6;264
HTTP;TCP;Out;177.200.93.126;55168;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:04;00:01:26;6;264
HTTP;TCP;In;192.168.180.101;45645;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:02;00:01:28;6;264
HTTP;TCP;Out;177.200.93.126;7550;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:02;00:01:28;6;264
HTTP;TCP;In;192.168.88.35;40826;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:00:01;00:01:29;6;264
HTTP;TCP;Out;177.200.93.126;55075;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:00:01;00:01:29;6;264
HTTPS;UDP;In;192.168.89.62;41141;142.250.218.238;443;SINGLE:MULTIPLE;00:00:00;00:00:30;6;4644
HTTPS;UDP;Out;177.200.93.126;32472;142.250.218.238;443;MULTIPLE:SINGLE;00:00:00;00:00:30;6;4644
HTTP;TCP;In;192.168.88.35;38280;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:01:23;00:00:07;6;264
HTTP;TCP;Out;177.200.93.126;30609;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:01:23;00:00:07;6;264
HTTP;TCP;In;192.168.195.126;41064;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:14;00:00:16;6;264
HTTP;TCP;Out;177.200.93.126;12006;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:14;00:00:16;6;264
HTTP;TCP;In;10.100.22.29;32830;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:13;00:00:17;6;264
HTTP;TCP;Out;177.200.93.126;59625;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:13;00:00:17;6;264
HTTP;TCP;In;192.168.198.25;35554;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:13;00:00:17;6;264
HTTP;TCP;Out;177.200.93.126;23274;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:13;00:00:17;6;264
HTTP;TCP;In;192.168.88.35;38281;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:01:08;00:00:22;6;264
HTTP;TCP;Out;177.200.93.126;2014;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:01:08;00:00:22;6;264
HTTPS;TCP;In;192.168.196.35;34672;34.107.157.36;443;FIN_WAIT_2:FIN_WAIT_2;00:01:05;00:00:25;6;328
HTTPS;TCP;Out;177.200.93.126;40286;34.107.157.36;443;FIN_WAIT_2:FIN_WAIT_2;00:01:05;00:00:25;6;328
SNMP;UDP;In;10.100.22.10;55339;192.168.0.99;161;NO_TRAFFIC:SINGLE;00:00:56;00:00:00;6;636
SNMP;UDP;Out;201.65.78.233;44111;192.168.0.99;161;SINGLE:NO_TRAFFIC;00:00:56;00:00:00;6;636
DNS;UDP;In;192.168.160.12;62212;8.8.8.8;53;MULTIPLE:MULTIPLE;00:00:49;00:00:50;6;1110
DNS;UDP;Out;201.65.78.233;11025;8.8.8.8;53;MULTIPLE:MULTIPLE;00:00:49;00:00:50;6;1110
SNMP;UDP;In;192.168.180.102;63322;192.168.213.2;161;NO_TRAFFIC:SINGLE;00:00:47;00:00:04;6;642
SNMP;UDP;Out;201.65.78.233;40057;192.168.213.2;161;SINGLE:NO_TRAFFIC;00:00:47;00:00:04;6;642
HTTP;TCP;In;192.168.170.147;54836;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:46;00:00:45;6;264
HTTP;TCP;Out;201.65.78.233;17000;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:46;00:00:45;6;264
HTTP;TCP;In;192.168.195.102;56857;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:44;00:00:46;6;264
HTTP;TCP;Out;177.200.93.126;12220;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:44;00:00:46;6;264
HTTP;TCP;In;10.100.22.29;32832;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:42;00:00:48;6;264
HTTP;TCP;Out;177.200.93.126;61010;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:42;00:00:48;6;264
HTTP;TCP;In;192.168.196.15;46165;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:35;00:00:55;6;264
HTTP;TCP;Out;177.200.93.126;39007;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:35;00:00:55;6;264
HTTPS;TCP;In;192.168.193.149;54808;54.201.241.207;443;TIME_WAIT:TIME_WAIT;00:00:33;00:00:57;6;386
HTTPS;TCP;Out;201.65.78.233;51265;54.201.241.207;443;TIME_WAIT:TIME_WAIT;00:00:33;00:00:57;6;386
